lots;boards;panels;anzahlFrames;panelSize;boardsInFrame;projNr;process;subProcess;prozessOrder;frame_tactTime_brutto;frame_tactTime_netto;panel_tactTime_brutto;panel_tactTime_netto;board_tactTime_brutto;board_tactTime_netto;manufacturingTime
1;90;45;46;2;4;62831B;3_SEL;3_SELA;1;2,9334;2,1334;1,4667;1,0667;0,7333;0,5333;2025-10-22
1;80;40;51;2;4;62831B;3_SEL;3_SELB;2;3,2334;2,4666;1,6167;1,2333;0,8084;0,6167;2025-10-22
1;180;90;NULL;2;NULL;62831B;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,3667;1,1333;0,6834;0,5666;2025-10-22
1;180;90;NULL;2;NULL;62831B;5_FPT;5_FPT_BASIC;4;NULL;NULL;1,8;1,2333;0,9;0,6167;2025-10-22
1;180;90;NULL;2;NULL;62831B;6_DEP;6_DEP;5;NULL;NULL;1,0333;0,8667;0,5167;0,4334;2025-10-22
1;52;13;NULL;4;NULL;62841A;1_SMT;1_SMTA;1;NULL;NULL;1,3667;0,9833;0,3417;0,2458;2026-06-08
1;52;13;NULL;4;NULL;62841A;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,7167;0,8333;0,4292;0,2083;2026-06-08
1;52;13;NULL;4;NULL;62841A;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;2,6;1,8333;0,65;0,4583;2026-06-08
13;1012;253;NULL;4;NULL;62851B;1_SMT;1_SMTA;1;NULL;NULL;1,0967;0,7;0,2742;0,175;2026-03-09
13;1008;252;NULL;4;NULL;62851B;2_ODD;2_ODDA;2;NULL;NULL;2,3267;1,92;0,5817;0,48;2026-03-09
13;469;117,25;254;4;8;62851B;3_SEL;3_SELA;3;6,6555;5,2926;3,3278;2,6463;0,8319;0,6616;2024-12-12
13;2716;679;NULL;4;NULL;62851B;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,6792;1,3903;0,4198;0,3476;2024-12-12
13;2964;741;NULL;4;NULL;62851B;4_AOI;4_AOI_SMT;5;NULL;NULL;0,6564;0,5102;0,1641;0,1276;2024-12-12
13;2776;694;NULL;4;NULL;62851B;5_FPT;5_FPT_BASIC;6;NULL;NULL;2,1167;1,4952;0,5292;0,3738;2024-12-12
13;780;195;NULL;4;NULL;62851B;6_DEP;6_DEP;7;NULL;NULL;1,2933;0,9267;0,3233;0,2317;2025-10-13
2;120;20;NULL;6;NULL;62871A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;2,1917;1,6917;0,3653;0,2819;2025-03-19
2;120;20;NULL;6;NULL;62871A;5_FPT;5_FPT_BASIC;2;NULL;NULL;2,125;1,125;0,3542;0,1875;2025-03-19
6;246;123;131;2;4;62881C;3_SEL;3_SELA;1;7,9417;6,1333;3,9708;3,0667;1,9854;1,5333;2024-11-20
6;888;444;NULL;2;NULL;62881C;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,8889;1,6722;0,9444;0,8361;2024-08-26
6;888;444;NULL;2;NULL;62881C;5_FPT;5_FPT_BASIC;3;NULL;NULL;3,2;2,6063;1,6;1,3031;2024-08-26
6;260;130;NULL;2;NULL;62881C;6_DEP;6_DEP;4;NULL;NULL;0,8084;0,625;0,4042;0,3125;2025-11-26
1;64;16;NULL;4;NULL;628A1A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,7;0,9333;0,425;0,2333;2024-08-30
5;592;148;NULL;4;NULL;628A1B;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,1033;0,9267;0,2758;0,2317;2025-03-07
5;592;148;NULL;4;NULL;628A1B;5_FPT;5_FPT_BASIC;2;NULL;NULL;1,97;1,2866;0,4925;0,3217;2025-03-07
4;528;132;NULL;4;NULL;628A1C;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,2292;0,9458;0,3073;0,2364;2025-09-10
4;428;107;NULL;4;NULL;628A1C;5_FPT;5_FPT_BASIC;2;NULL;NULL;1,85;1,2944;0,4625;0,3236;2025-10-06
4;92;23;NULL;4;NULL;628A1C;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;2,0333;1,8167;0,5083;0,4542;2025-09-10
19;896;224;NULL;4;NULL;628A1D;1_SMT;1_SMTA;1;NULL;NULL;1,6167;0,9562;0,4042;0,2391;2026-03-05
19;2116;529;NULL;4;NULL;628A1D;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,1974;0,9439;0,2993;0,236;2026-01-12
19;1940;485;NULL;4;NULL;628A1D;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,8176;1,4065;0,4544;0,3516;2026-01-29
19;160;40;NULL;4;NULL;628A1D;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;3,1667;2,1667;0,7917;0,5417;2026-01-12
19;1992;498;NULL;4;NULL;628A1D;6_DEP;6_DEP;5;NULL;NULL;1,3;0,9037;0,325;0,2259;2026-01-12
1;20;4;11;5;10;628E1A;3_SEL;3_SELA;1;5,4;3,4;2,7;1,7;0,54;0,34;2025-10-06
1;100;20;NULL;5;NULL;628E1A;4_AOI;4_AOI_SIDEA;2;NULL;NULL;0,6833;0,4333;0,1367;0,0867;2025-10-06
1;100;20;NULL;5;NULL;628E1A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,4;1,2;0,28;0,24;2025-10-06
1;100;20;NULL;5;NULL;628E1A;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;3,4667;2,9667;0,6933;0,5933;2025-10-06
2;165;41,25;167;4;4;628F1A;3_SEL;3_SELA;1;3,5667;3,0583;3,5667;3,0583;0,8917;0,7646;2026-05-22
2;1000;250;NULL;4;NULL;628F1A;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,875;1,55;0,4688;0,3875;2026-05-22
2;1004;251;NULL;4;NULL;628F1A;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,2111;0,6833;0,3028;0,1708;2026-05-22
2;1000;250;NULL;4;NULL;628F1A;6_DEP;6_DEP;4;NULL;NULL;1,2083;0,8084;0,3021;0,2021;2026-05-22
6;1000;1000;NULL;1;NULL;6911AC;1_SMT;1_SMTA;1;NULL;NULL;0,55;0,475;0,55;0,475;2026-03-02
6;977;977;NULL;1;NULL;6911AC;1_SMT;1_SMTB;2;NULL;NULL;0,7583;0,6583;0,7583;0,6583;2026-03-02
6;1998;1998;NULL;1;NULL;6911AC;2_ODD;2_ODDA;3;NULL;NULL;0,9083;0,7292;0,9083;0,7292;2025-07-02
6;500;500;132;1;4;6911AC;3_SEL;3_SELA;4;3,6668;2,6668;0,9167;0,6667;0,9167;0,6667;2025-03-28
6;3000;3000;NULL;1;NULL;6911AC;4_AOI;4_AOI_SIDEA;5;NULL;NULL;0,9762;0,8881;0,9762;0,8881;2024-10-16
6;2454;2454;NULL;1;NULL;6911AC;5_FPT;5_FPT_BASIC;6;NULL;NULL;0,6139;0,4305;0,6139;0,4305;2025-03-28
1;1000;100;NULL;10;NULL;69151A;4_AOI;4_AOI_SIDEA;1;NULL;NULL;1,1333;0,9333;0,1133;0,0933;2025-02-25
1;250;50;NULL;5;NULL;69171A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,1;0,9167;0,22;0,1833;2024-08-27
1;250;50;NULL;5;NULL;69171A;5_FPT;5_FPT_BASIC;2;NULL;NULL;2,0833;1,6833;0,4167;0,3367;2024-08-27
2;840;105;NULL;8;NULL;69181D;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,4;1,2167;0,175;0,1521;2025-06-30
2;760;95;NULL;8;NULL;69181D;5_FPT;5_FPT_BASIC;2;NULL;NULL;5,75;4,8083;0,7188;0,601;2024-08-22
1;27;3,375;31;8;8;69181E;3_SEL;3_SELA;1;4,35;3,6333;4,35;3,6333;0,5437;0,4542;2026-02-27
1;224;28;NULL;8;NULL;69181E;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,3667;1,15;0,1708;0,1437;2026-02-27
1;224;28;NULL;8;NULL;69181E;4_AOI;4_AOI_SMT;3;NULL;NULL;1,25;0,75;0,1563;0,0938;2026-02-27
1;224;28;NULL;8;NULL;69181E;5_FPT;5_FPT_BASIC;4;NULL;NULL;5,1333;4,4167;0,6417;0,5521;2026-02-27
1;216;27;NULL;8;NULL;69181E;6_DEP;6_DEP;5;NULL;NULL;1,2667;1,0833;0,1583;0,1354;2026-02-27
4;1500;150;NULL;10;NULL;69191B;1_SMT;1_SMTA;1;NULL;NULL;1,4167;1,0833;0,1417;0,1083;2026-03-20
4;200;20;NULL;10;NULL;69191B;1_SMT;1_SMTB;2;NULL;NULL;1,05;0,8;0,105;0,08;2026-03-20
4;1960;196;NULL;10;NULL;69191B;2_ODD;2_ODDA;3;NULL;NULL;1,4417;1,0667;0,1442;0,1067;2025-11-21
4;1000;100;NULL;10;NULL;69191B;4_AOI;4_AOI_SIDEA;4;NULL;NULL;1,1;0,8667;0,11;0,0867;2025-04-24
4;4000;400;NULL;10;NULL;69191B;4_AOI;4_AOI_SMT;5;NULL;NULL;0,525;0,4125;0,0525;0,0412;2025-02-05
4;4000;400;NULL;10;NULL;69191B;4_AOI;4_AOI_THT;6;NULL;NULL;1,0541;0,8375;0,1054;0,0838;2025-02-05
4;4620;462;NULL;10;NULL;69191B;5_FPT;5_FPT_BASIC;7;NULL;NULL;1,5417;1,025;0,1542;0,1025;2025-02-05
4;1950;195;NULL;10;NULL;69191B;6_DEP;6_DEP;8;NULL;NULL;1,5416;1,35;0,1542;0,135;2025-11-21
3;200;40;NULL;5;NULL;691A1A;1_SMT;1_SMTA;1;NULL;NULL;0,6834;0,4334;0,1367;0,0867;2026-06-03
3;40;8;24;5;10;691A1A;3_SEL;3_SELA;2;3,1167;2,5667;1,5583;1,2833;0,3117;0,2567;2025-10-03
3;200;40;NULL;5;NULL;691A1A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,1166;0,8417;0,2233;0,1683;2025-10-03
3;200;40;NULL;5;NULL;691A1A;5_FPT;5_FPT_BASIC;4;NULL;NULL;0,7;0,45;0,14;0,09;2025-10-03
1;50;10;NULL;5;NULL;70131B;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,5333;1,0333;0,3067;0,2067;2024-12-11
1;50;10;NULL;5;NULL;70131B;5_FPT;5_FPT_PREMIUM;2;NULL;NULL;2,8833;1,3833;0,5767;0,2767;2024-12-11
4;290;290;134;1;6;7016CA;3_SEL;3_SELA;1;4,95;3,9999;0,825;0,6666;0,825;0,6666;2024-11-18
4;700;700;NULL;1;NULL;7016CA;4_AOI;4_AOI_SIDEA;2;NULL;NULL;0,9945;0,8778;0,9945;0,8778;2024-10-15
4;698;698;NULL;1;NULL;7016CA;4_AOI;4_AOI_SIDEB;3;NULL;NULL;0,8333;0,7444;0,8333;0,7444;2024-10-15
4;736;736;NULL;1;NULL;7016CA;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;1,2778;1,0611;1,2778;1,0611;2024-10-15
1;60;12;NULL;5;NULL;701C1A;5_FPT;5_FPT_PREMIUM;1;NULL;NULL;2,4667;2,05;0,4933;0,41;2024-10-02
2;600;30;NULL;20;NULL;701H1A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,8167;1,025;0,0908;0,0512;2024-11-07
2;600;30;NULL;20;NULL;701H1A;5_FPT;5_FPT_BASIC;2;NULL;NULL;3,1667;1,7917;0,1583;0,0896;2024-11-07
2;651;217;NULL;3;NULL;70761A;4_AOI;4_AOI_SIDEA;1;NULL;NULL;0,4917;0,375;0,1639;0,125;2025-10-22
2;618;206;NULL;3;NULL;70761A;5_FPT;5_FPT_BASIC;2;NULL;NULL;1,0417;0,9333;0,3472;0,3111;2025-10-22
1;624;208;NULL;3;NULL;70771A;2_ODD;2_ODDA;1;NULL;NULL;3,9833;3,1833;1,3278;1,0611;2025-10-20
1;624;208;NULL;3;NULL;70771A;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,4667;1,2167;0,4889;0,4056;2025-10-20
2;695;139;NULL;5;NULL;70781A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,5833;1,4083;0,3167;0,2817;2025-12-17
2;695;139;NULL;5;NULL;70781A;5_FPT;5_FPT_BASIC;2;NULL;NULL;2,3917;1,8833;0,4783;0,3767;2025-12-17
1;89;44,5;59;2;4;70791A;3_SEL;3_SELA;1;5,9334;3,7334;2,9667;1,8667;1,4833;0,9334;2025-11-28
